ObservedTimestamp,ObservedDate,ObservedTime,BookingDay,FareSource,Dep,Arr,Via,TravelDate,DepDay,CabinClass,Airline,FlightNo,DepartureTime,Depbucket,ArrivalTime,Duration,Fare,FareClass,FareLevel,NoOfStops,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,397,840,8~9,1030,00:01:50,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,7011,1840,18~19,2020,00:01:40,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,495,2130,21~22,2305,00:01:35,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,483,1800,18~19,1940,00:01:40,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,477,2020,20~21,2200,00:01:40,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,415,1455,14~15,1635,00:01:40,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,413,1550,15~16,1730,00:01:40,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,394,1340,13~14,1520,00:01:40,4759,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,7178,950,9~10,1130,00:01:40,4864,K,9,0,72.874245,19.097403,77.580643,12.972442
2017-07-22 10:03:16,2017-07-22,10:03:16,Saturday,1S,BOM,BLR,Direct,2017-08-01,Tuesday,Economy,9W,7145,300,3~4,435,00:01:35,4969,K,9,0,72.874245,19.097403,77.580643,12.972442
